"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\ConnectionsService\ISQLiteConnectionService.cs", "C#", 0, 13, 0, 13, 5, 31
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\ConnectionsService\SQLiteConnectionService.cs", "C#", 0, 81, 0, 7, 27, 115
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataCache\BattleCacheService.cs", "C#", 0, 41, 0, 1, 11, 53
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataCache\MoveCacheService.cs", "C#", 0, 36, 0, 2, 8, 46
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataCache\OnlinePlayerCacheService.cs", "C#", 0, 72, 0, 4, 19, 95
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataCache\PokemonCacheService.cs", "C#", 0, 72, 0, 2, 18, 92
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataCache\UserCacheService.cs", "C#", 0, 50, 0, 5, 16, 71
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataProvider\SQLite\SQLiteBattleRepository .cs", "C#", 0, 55, 0, 0, 9, 64
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataProvider\SQLite\SQLiteMoveRepository.cs", "C#", 0, 30, 0, 0, 8, 38
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataProvider\SQLite\SQLiteOnlinePlayerRepository .cs", "C#", 0, 54, 0, 0, 10, 64
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataProvider\SQLite\SQLitePokemonRepository.cs", "C#", 0, 53, 0, 0, 15, 68
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\DataProvider\SQLite\SQLiteUserRepository.cs", "C#", 0, 31, 0, 0, 8, 39
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\AbilityData.cs", "C#", 0, 13, 0, 0, 3, 16
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Items\PokeballData.cs", "C#", 0, 25, 0, 0, 2, 27
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\MapData\RouteMapData.cs", "C#", 0, 25, 0, 0, 3, 28
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\MapData\TownMapData.cs", "C#", 0, 14, 0, 0, 3, 17
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\MapData\WorldData.cs", "C#", 0, 19, 0, 0, 4, 23
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Move\MoveData.cs", "C#", 0, 17, 0, 0, 2, 19
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\NpcData\RivalData.cs", "C#", 0, 38, 0, 2, 4, 44
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\NpcData\TrainerData.cs", "C#", 0, 22, 0, 0, 1, 23
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Pokemon\BaseStatsData.cs", "C#", 0, 32, 0, 0, 3, 35
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Pokemon\EggMoveData.cs", "C#", 0, 11, 0, 0, 2, 13
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Pokemon\EvolutionData.cs", "C#", 0, 15, 0, 0, 3, 18
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Pokemon\LevelUpMoveData.cs", "C#", 0, 9, 0, 0, 2, 11
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Pokemon\PokemonData.cs", "C#", 0, 8, 0, 0, 1, 9
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\Pokemon\PokemonFormData.cs", "C#", 0, 12, 0, 0, 3, 15
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\User\BattlePlayerData.cs", "C#", 0, 13, 0, 0, 2, 15
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame.Services\Data\GameData\User\OnlinePlayer\BattleData.cs", "C#", 0, 26, 0, 0, 3, 29
